"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","59082501","","","","0"
"2008-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","55885424","","","","0"
"2008-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","55068839","","","","0"
"2008-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48248631","","","","0"
"2008-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45495615","","","","0"
"2008-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","44966961","","","","0"
"2008-07","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","49424948","","","","0"
"2008-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48066719","","","","0"
"2008-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","43684551","","","","0"
"2008-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","46570962","","","","0"
"2008-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48214813","","","","0"
"2008-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","56568724","","","","0"
"2009-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","59539341","","","","0"
"2009-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51232146","","","","0"
"2009-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","52223235","","","","0"
"2009-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","44174117","","","","0"
"2009-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","43092495","","","","0"
"2009-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","42537244","","","","0"
"2009-07","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","44943777","","","","0"
"2009-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","46021395","","","","0"
"2009-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","42530088","","","","0"
"2009-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47357167","","","","0"
"2009-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","46814279","","","","0"
"2009-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","57035235","","","","0"
"2010-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","58679092","","","","0"
"2010-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51859976","","","","0"
"2010-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51129869","","","","0"
"2010-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","44237908","","","","0"
"2010-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","42653259","","","","0"
"2010-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","42534130","","","","0"
"2010-07","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45298282","","","","0"
"2010-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","43655176","","","","0"
"2010-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","39913848","","","","0"
"2010-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","42988948","","","","0"
"2010-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47537822","","","","0"
"2010-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","56271377","","","","0"
"2011-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","58717825","","","","0"
"2011-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","52013676","","","","0"
"2011-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","53713281","","","","0"
"2011-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","46647271","","","","0"
"2011-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45489643","","","","0"
"2011-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","43112968","","","","0"
"2011-07","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47874247","","","","0"
"2011-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47165459","","","","0"
"2011-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","43300252","","","","0"
"2011-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45060611","","","","0"
"2011-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47515941","","","","0"
"2011-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","54839638","","","","0"
"2012-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","58104035","","","","0"
"2012-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51934746","","","","0"
"2012-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51614413","","","","0"
"2012-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","46417982","","","","0"
"2012-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45932634","","","","0"
"2012-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","44614478","","","","0"
